;Target_CI
160;0.5371521739878881
161;0.5601351464130728
162;0.5601351464130728
163;0.577594755718757
164;0.6163062275565802
165;0.6132238553138523
166;0.5672973132846449
167;0.5672973132846449
168;0.5720411908134942
169;0.5720411908134942
170;0.5195944509568764
171;0.5195944509568764
172;0.601796861148916
173;0.601796861148916
174;0.6308801375021779
175;0.5512174223535763
176;0.5773564485518852
177;0.6257584874189075
178;0.60426542666699
179;0.6024105275877423
180;0.6276791657827046
181;0.5556069982958403
182;0.5629877944503591
183;0.6196628031101217
184;0.5921244993059281
185;0.5881075144398511
186;0.5104213163627541
187;0.5565878131176727
188;0.5801564177103595
189;0.715513024020105
190;0.515620814411375
191;0.515620814411375
192;0.6036610246780376
193;0.6036610246780376
194;0.5662875162483921
195;0.5662875162483921
196;0.726860959193914
197;0.7369732276831797
198;0.7250925437024609
199;0.7229810215753597
200;0.777045231823585
201;0.7255618634557661
202;0.7737189920861223
203;0.777045231823585
204;0.777045231823585
205;0.5099029909385359
206;0.5099029909385359
207;0.5099029909385359
208;0.5626009466685474
209;0.5626009466685474
210;0.5626009466685474
211;0.692021681934431
212;0.6721514583042005
213;0.42948533696386054
214;0.5539835115722054
215;0.5539835115722054
216;0.47626878255993116
217;0.47626878255993116
218;0.47626878255993116
219;0.5540798232394054
220;0.35095544438673726
221;0.35095544438673726
222;0.641571430888121
223;0.654257370487628
224;0.6095506956759326
225;0.546866239774502
226;0.620762242193916
227;0.6518358977840418
228;0.6136280318234419
229;0.5289892491631324
230;0.5065918781372797
231;0.48396827764098765
232;0.537645285883048
233;0.6343168829446775
234;0.26164587833730496
235;0.609376249780133
236;0.6159670413780816
237;0.5632907557939941
238;0.6272882262877041
239;0.581615631203385
240;0.5533418739655787
241;0.512116483150601
242;0.6371142140583463
243;0.5693436210317024
244;0.5693436210317024
245;0.5693436210317024
246;0.5319620536325405
247;0.5319620536325405
248;0.5319620536325405
249;0.5319620536325405
250;0.5455364086092874
251;0.5455364086092874
252;0.5455364086092874
253;0.6396940608198157
254;0.6224135473450483
255;0.6224135473450483
256;0.6487184162856587
257;0.6487184162856587
258;0.652406179834402
259;0.5975338644663789
260;0.6203171944851603
261;0.5947005305119141
262;0.5729447831288139
263;0.6728781123094246
264;0.7128157349593172
265;0.6255330838168304
266;0.6224757165311283
267;0.610422654891415
268;0.6093333743255777
269;0.6093333743255777
270;0.6232357133027022
271;0.6232357133027022
272;0.6342415922186061
273;0.6342415922186061
274;0.562787165294148
275;0.5873456718675875
276;0.5392093868121504
277;0.6218223474644092
278;0.5807004402981251
279;0.5621123286052747
280;0.5621123286052747
281;0.48831126828593574
282;0.48831126828593574
283;0.6781610466422999
284;0.6579046961727951
285;0.6280009413936243
286;0.5711596303883659
287;0.5001120235733095
288;0.5001120235733095
289;0.5001120235733095
290;0.5864193174581462
291;0.5864193174581462
292;0.5864193174581462
293;0.619483561837205
294;0.6369691120782799
295;0.599014916513852
296;0.5852677517695375
297;0.5852677517695375
298;0.6077643940921693
299;0.6077643940921693
300;0.27185837885166225
301;0.5514289468405317
302;0.5514289468405317
303;0.7361359117046354
304;0.19351529051877647
305;0.5379471108736111
306;0.6088539004600232
307;0.3629781861846143
308;0.7664628321820591
309;0.7664628321820591
310;0.6546664280419252
311;0.7452161824555583
312;0.7509833029913933
313;0.6896539977228242
314;0.6393789125182683
315;0.28593317618639824
316;0.31691581051603557
317;0.445481022274514
318;0.46504409034642274
319;0.5597762911204034
320;0.5298166289855161
321;0.6318589072857074
322;0.5999960879079658
323;0.5532540277968985
324;0.5663701299898657
325;0.6137670637031254
326;0.29674347272490925
327;0.3008187087906332
328;0.18058937004336725
329;0.29423664452393694
330;0.23964480559898738
331;0.29677707666846104
332;0.29677707666846104
333;0.29677707666846104
334;0.2534395077555756
335;0.35790062168038717
336;0.47474507230372115
337;0.3539004493039523
338;0.33154280277603315
339;0.14146601637308906
340;0.03284169833752157
341;0.4002041290745167
342;0.34979823953880707
343;0.3628319857841208
344;0.3526294275766674
345;0.4084156267045482
346;0.4084156267045482
347;0.48728295394245924
348;0.41053126176879695
349;0.2627243371864091
350;0.34047456948666643
351;0.30846756042611495
352;0.22493417238297614
353;0.22760943133862196
354;0.6010454052294103
355;0.704059589307431
356;0.5835820085493356
357;0.6536371067238006
358;0.7027252947260074
359;0.7106250085263343
360;0.7031583197529586
361;0.7360610329066256
362;0.6529668159784774
363;0.7299481319693779
364;0.7048458235935805
365;0.7254713712248281
366;0.47742539682438134
367;0.6800430015426341
368;0.6396812295714344
369;0.69475640908562
370;0.6559483911114623
371;0.5346044071801705
372;0.7081089694507575
373;0.7025460126879252
374;0.6325584872723691
375;0.3817756752275758
376;0.7738571135602473
377;0.7738571135602473
378;0.7738571135602473
379;0.280602258110789
380;0.7784215298866448
381;0.7784215298866448
382;0.7784215298866448
383;0.7734818534840638
384;0.7743179000719891
385;0.7743179000719891
386;0.7648773933989546
387;0.7648773933989546
388;0.7648773933989546
389;0.5556542989933697
390;0.5460236207876004
391;0.5460236207876004
392;0.5556542989933697
393;0.5473482355393331
394;0.5473482355393331
395;0.5896575520313859
396;0.6014161738106323
397;0.5058101725617037
398;0.5058101725617037
399;0.38726039317776656
400;0.5484012206247825
401;0.5484012206247825
402;0.38726039317776656
403;0.6047327849618974
404;0.6047327849618974
405;0.6219147655328903
406;0.6219147655328903
407;0.6286859225990634
408;0.6152734331845524
409;0.638330816851327
